timestamp,episode,result,reward,steps,distance_to_goal,collisions,lane_invasions,max_speed
2026-03-11 13:33:59,1,SUCCESS,1216.96,569,4.25,0,46,33.82
2026-03-11 13:34:02,2,SUCCESS,384.41,113,4.39,0,12,33.25
2026-03-11 13:34:19,3,SUCCESS,1274.66,731,4.46,0,101,33.73
2026-03-11 13:34:22,4,SUCCESS,408.14,124,4.9,0,11,33.44
2026-03-11 13:34:29,5,SUCCESS,831.33,387,4.66,0,52,33.63
2026-03-11 13:34:36,6,SUCCESS,687.13,300,4.58,0,35,34.04
2026-03-11 13:34:47,7,SUCCESS,909.77,436,4.69,0,87,33.68
2026-03-11 13:34:56,8,SUCCESS,997.33,462,4.92,0,46,33.71
2026-03-11 13:34:58,9,FAILED,-215.49,73,96.37,1,9,33.4
2026-03-11 13:35:09,10,SUCCESS,1174.55,593,4.42,0,54,34.09
